filename-string,eLifetime[us],uncertainty[us]
20201129_122204,1426.943411611009,504.9100627766911
20201129_122655,1340.4924335924652,164.27372870416667
20201129_130449,1375.703443664629,183.11469825886738
20201129_134857,1080.222116491045,125.04620606332196
20201129_143427,1502.4676078560935,246.33025980506162
20201129_150749,1331.273932313314,144.44407902705794
20201129_155227,2199.7292405699914,279.75317670026686
20201129_162434,1162.817474853896,115.35768625179703
20201129_170918,1518.8418898401674,148.50566320206076
20201129_174140,1849.2310596953716,376.02285173148084
20201129_182214,1983.7874197879685,357.1021809291718
20201129_185437,2249.608526991405,332.6297935910143
20201129_193550,2542.853801221178,264.49648696532387
20201129_200721,2748.8806463424644,376.11736165503106
20201129_204607,2261.226340370707,101.12446227817392
20201129_211819,2548.218755635127,260.5224280698738
20201129_215550,3857.3206819183697,486.72724094476007
20201129_222751,3327.638475199542,264.4930990576411
20201129_230700,5925.085465719896,1328.2282444099924
20201129_234000,6081.854067811178,2042.0913585854387
20201130_002722,12150.72183462109,4718.720643545804
20201130_005847,5377.790965655243,1043.1002396130393
